"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))"
"Arjun Roy";"Sitamarhi";"No";"92.38%";"28";"349";"0";"Bihar";"Janata Dal (United)";"Elected";"18 May 09";"In office";"";"42";"Male";"Doctorate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"3";"7";"7";"2";"0";"1";"0";"1";"0";"43";"14";"1";"1";"8";"10";"3";"9";"33";"6";"25";"22";"8";"10";"6";"15";"1";"7";"2";"28";"1";"11";"9";"18";"0";"3";"8";"1";"2";"4";"1";"1";"0";"1";"11";"7";"7";"1";"2";"7";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aruna Kumar Vundavalli";"Rajahmundry";"No";"90.44%";"19";"33";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"59";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"8";"2";"2";"1";"0";"4";"0";"1";"0";"4";"2";"0";"0";"4";"2";"2";"0";"1";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arun Subhashchandra Yadav";"Khandwa";"Yes";"52.11%";"4";"25";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"40";"Male";"Graduate";"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"1";"1";"0";"0";"0";"1";"1";"3";"1";"1";"0";"1";"0";"0";"0";"6";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arvind Kumar Chaudhary";"Basti";"No";"97.06%";"4";"190";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"49";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1";"13";"20";"0";"0";"18";"12";"6";"16";"11";"1";"4";"8";"5";"2";"3";"3";"1";"16";"0";"6";"0";"4";"7";"1";"0";"4";"3";"0";"0";"2";"1";"0";"1";"0";"1";"0";"8";"1";"2";"0";"3";"2";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arvind Kumar Sharma";"Karnal";"No";"66.12%";"17";"93";"0";"Haryana";"Indian National Congress";"Elected";"18 May 09";"In office";"";"50";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"1";"3";"3";"5";"1";"0";"3";"0";"9";"9";"0";"0";"14";"1";"3";"6";"2";"5";"2";"2";"6";"1";"1";"2";"1";"4";"0";"5";"0";"3";"1";"0";"0";"0";"2";"2";"0";"0";"1";"0";"1";"0";"2";"0";"1";"0";"2";"0";"1";"1";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Asaduddin Owaisi";"Hyderabad";"No";"69.38%";"40";"1129";"1";"Andhra Pradesh";"All India Majlis-E-Ittehadul Muslimmen";"Elected";"18 May 09";"In office";"";"44";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"11";"10";"0";"5";"4";"0";"6";"2";"87";"70";"7";"10";"38";"60";"10";"92";"26";"39";"39";"50";"35";"18";"57";"26";"10";"27";"1";"38";"31";"34";"19";"48";"8";"49";"13";"37";"5";"16";"12";"6";"10";"8";"28";"6";"13";"3";"10";"9";"8";"3";"0";"1";"0";"3";"3";"4";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0"
"Ashok Argal";"Bhind";"No";"92.69%";"89";"180";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"45";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"46";"19";"4";"3";"3";"2";"7";"1";"3";"2";"21";"8";"0";"0";"12";"9";"3";"11";"5";"28";"8";"2";"8";"1";"6";"3";"5";"13";"0";"5";"0";"6";"3";"2";"0";"2";"0";"0";"1";"2";"0";"0";"1";"1";"2";"0";"5";"0";"1";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ashok Kumar Rawat";"Misrikh";"No";"85.38%";"42";"819";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"38";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"7";"27";"0";"0";"5";"0";"2";"0";"1";"5";"66";"29";"3";"3";"37";"43";"11";"47";"34";"21";"28";"23";"12";"33";"17";"24";"27";"22";"10";"28";"3";"24";"22";"25";"4";"16";"13";"13";"4";"6";"5";"0";"13";"11";"20";"29";"19";"6";"6";"29";"10";"2";"0";"0";"5";"8";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ashok Tanwar";"Sirsa";"No";"78.62%";"4";"223";"0";"Haryana";"Indian National Congress";"Elected";"18 May 09";"In office";"";"38";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"2";"0";"0";"0";"1";"6";"1";"11";"2";"2";"4";"10";"5";"11";"5";"3";"12";"5";"7";"8";"2";"6";"4";"1";"1";"5";"4";"11";"3";"7";"4";"1";"3";"5";"4";"5";"3";"6";"2";"3";"5";"5";"4";"3";"8";"4";"3";"4";"1";"6";"5";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ashwamedh Devi";"Ujiarpur";"No";"89.94%";"9";"145";"0";"Bihar";"Janata Dal (United)";"Elected";"18 May 09";"In office";"";"46";"Female";"Under Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"7";"0";"0";"1";"0";"0";"0";"0";"0";"5";"6";"0";"0";"8";"17";"6";"12";"2";"1";"7";"6";"2";"2";"11";"1";"1";"3";"0";"5";"1";"5";"5";"1";"0";"3";"0";"1";"0";"7";"4";"2";"0";"1";"7";"3";"3";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Asrarul Haque Mohammad";"Kishanganj";"No";"94.31%";"18";"56";"0";"Bihar";"Indian National Congress";"Elected";"18 May 09";"In office";"";"72";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"6";"3";"4";"0";"1";"0";"0";"1";"0";"4";"2";"0";"0";"1";"2";"0";"0";"11";"0";"1";"2";"2";"1";"0";"0";"0";"5";"0";"1";"4";"0";"4";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"4";"3";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"A.T. Nana Patil";"Jalgaon";"No";"78.69%";"69";"641";"10";"Maharashtra";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"52";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"25";"15";"2";"6";"7";"3";"2";"2";"5";"1";"35";"48";"0";"0";"28";"33";"8";"38";"38";"28";"23";"28";"29";"19";"29";"13";"6";"16";"2";"14";"1";"18";"18";"17";"1";"13";"24";"5";"3";"10";"8";"7";"5";"5";"18";"9";"8";"2";"9";"12";"5";"4";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Avtar Singh Bhadana";"Faridabad";"No";"44.69%";"14";"231";"0";"Haryana";"Indian National Congress";"Elected";"18 May 09";"In office";"";"56";"Male";"Under Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"9";"0";"2";"2";"0";"0";"0";"1";"0";"24";"11";"2";"4";"14";"4";"9";"12";"4";"14";"9";"4";"10";"2";"11";"10";"1";"22";"3";"9";"0";"7";"5";"5";"1";"2";"6";"2";"2";"0";"2";"2";"1";"0";"5";"0";"9";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Awale Jaywant Gangaram";"Latur";"No";"91.62%";"51";"350";"0";"Maharashtra";"Indian National Congress";"Elected";"18 May 09";"In office";"";"73";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"27";"23";"0";"0";"1";"0";"0";"0";"0";"7";"19";"45";"0";"0";"15";"21";"13";"26";"15";"4";"17";"11";"3";"8";"2";"9";"5";"8";"1";"14";"1";"8";"10";"8";"2";"7";"6";"4";"0";"5";"0";"0";"6";"4";"9";"14";"1";"2";"7";"1";"2";"1";"0";"1";"3";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Babu Lal Marandi";"Kodarma";"No";"28.87%";"2";"0";"0";"Jharkhand";"Jharkhand Vikas Morcha (Prajatantrik)";"Elected";"18 May 09";"In office";"";"56";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Badri Ram Jakhar";"Pali";"No";"87.31%";"24";"513";"0";"Rajasthan";"Indian National Congress";"Elected";"18 May 09";"In office";"";"61";"Male";"Under Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"18";"0";"0";"0";"3";"0";"1";"0";"1";"8";"28";"23";"1";"3";"17";"31";"17";"9";"22";"10";"13";"20";"10";"13";"10";"12";"11";"19";"8";"14";"7";"21";"18";"17";"5";"5";"9";"3";"5";"17";"4";"7";"7";"7";"11";"20";"15";"4";"6";"2";"1";"1";"0";"1";"8";"10";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Badruddin Ajmal";"Dhubri";"No";"49.56%";"30";"320";"0";"Assam";"Assam United Democratic Front";"Elected";"18 May 09";"In office";"";"64";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"2";"6";"4";"1";"5";"3";"1";"1";"6";"13";"12";"0";"2";"12";"24";"1";"33";"9";"16";"10";"3";"16";"5";"0";"7";"7";"13";"0";"10";"13";"7";"7";"10";"1";"7";"2";"10";"0";"6";"3";"3";"0";"4";"3";"6";"8";"3";"3";"3";"6";"6";"8";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Baidyanath Prasad Mahto";"Valmiki Nagar";"No";"91.12%";"28";"301";"0";"Bihar";"Janata Dal (United)";"Elected";"18 May 09";"In office";"";"66";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"16";"0";"1";"0";"0";"2";"0";"0";"1";"33";"17";"3";"1";"12";"11";"4";"20";"17";"3";"14";"15";"13";"6";"6";"10";"4";"15";"1";"11";"2";"9";"9";"9";"1";"7";"9";"2";"0";"2";"3";"1";"1";"1";"3";"2";"5";"1";"2";"11";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Baijayant Jay Panda";"Kendrapara";"No";"68.50%";"18";"878";"12";"Orissa";"Biju Janata Dal";"Elected";"18 May 09";"In office";"";"50";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"5";"1";"2";"1";"1";"2";"0";"1";"8";"36";"57";"5";"3";"44";"44";"12";"57";"32";"33";"43";"28";"40";"17";"17";"16";"9";"33";"5";"11";"3";"19";"36";"28";"5";"10";"9";"20";"4";"18";"23";"25";"15";"12";"16";"21";"6";"13";"5";"5";"7";"3";"3";"9";"1";"5";"2";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Baju Ban Riyan";"Tripura East";"No";"85.88%";"6";"0";"0";"Tripura";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"72";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Baliram";"Lalganj";"No";"93.19%";"51";"351";"0";"Uttar Pradesh";"Bahujan Samaj Party";"Elected";"18 May 09";"In office";"";"59";"Male";"Doctorate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"2";"16";"6";"5";"3";"4";"1";"9";"0";"20";"29";"2";"5";"27";"12";"11";"34";"8";"3";"16";"7";"6";"6";"1";"5";"4";"12";"1";"17";"0";"37";"11";"1";"1";"1";"8";"3";"0";"3";"0";"1";"1";"1";"5";"1";"4";"3";"7";"23";"5";"2";"0";"0";"1";"1";"3";"2";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Baliram Kashyap";"Bastar";"No";"1.89%";"0";"0";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18 May 09";"09/03/2011";"";"77";"Male";"Under Matric";"Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Balkrishna Khanderao Shukla";"Vadodara";"No";"63.31%";"27";"254";"1";"Gujarat";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"50";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"6";"4";"2";"3";"4";"2";"5";"0";"0";"1";"15";"6";"0";"2";"20";"17";"6";"25";"8";"2";"5";"14";"19";"3";"13";"8";"1";"17";"0";"9";"0";"5";"6";"5";"1";"8";"3";"7";"0";"4";"0";"3";"2";"0";"3";"1";"3";"0";"4";"1";"3";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bal Kumar Patel";"Mirzapur";"No";"78.81%";"11";"280";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"In office";"";"50";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"7";"0";"0";"0";"0";"0";"0";"1";"0";"10";"28";"2";"2";"19";"16";"5";"20";"3";"11";"21";"13";"6";"10";"22";"1";"6";"13";"2";"5";"0";"8";"6";"6";"1";"4";"0";"1";"1";"2";"4";"3";"2";"0";"0";"8";"2";"1";"2";"6";"3";"0";"0";"2";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bansagopal Chowdhury";"Asansol";"No";"61.69%";"24";"43";"0";"West Bengal";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"54";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"11";"2";"3";"5";"0";"0";"1";"0";"2";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"2";"2";"3";"2";"0";"4";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bapiraju Kanumuri";"Narsapuram";"No";"86.38%";"11";"0";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"66";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"0";"0";"1";"3";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Basori Singh Masram";"Mandla";"No";"84.19%";"1";"10";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"68";"Male";"Under Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Basudeb Acharia";"Bankura";"No";"88.44%";"143";"218";"7";"West Bengal";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"71";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"48";"0";"9";"0";"1";"5";"42";"2";"20";"4";"19";"8";"0";"1";"18";"8";"2";"13";"11";"6";"8";"16";"9";"21";"6";"2";"2";"3";"3";"10";"0";"3";"2";"7";"1";"5";"6";"3";"0";"2";"3";"1";"0";"1";"0";"1";"1";"1";"1";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"7";"1";"1";"0";"2";"2";"0";"0";"1";"0";"0";"0"
"Beni Prasad Verma";"Gonda";"Yes";"99.33%";"2";"0";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"73";"Male";"Graduate";"This MP was appointed a minister in Jan, 2011. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 13th Dec, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bhajan Lal";"Hisar";"No";"43.25%";"0";"0";"0";"Haryana";"Haryana Janhit Congress";"Elected";"18 May 09";"03/06/2011";"";"83";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bhakta Charan Das";"Kalahandi";"No";"88.69%";"51";"252";"1";"Orissa";"Indian National Congress";"Elected";"18 May 09";"In office";"";"55";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"15";"3";"13";"3";"7";"2";"0";"0";"6";"12";"4";"21";"0";"0";"10";"12";"4";"9";"17";"7";"9";"9";"7";"8";"2";"4";"11";"5";"2";"4";"2";"6";"6";"7";"0";"2";"5";"3";"6";"5";"5";"3";"3";"4";"1";"0";"2";"1";"11";"0";"2";"5";"0";"1";"1";"13";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bharat Ram Meghwal";"Ganganagar";"No";"88.75%";"18";"200";"0";"Rajasthan";"Indian National Congress";"Elected";"18 May 09";"In office";"";"58";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"10";"1";"0";"3";"0";"0";"0";"0";"0";"20";"2";"2";"0";"6";"9";"14";"11";"8";"0";"4";"3";"3";"0";"5";"14";"6";"19";"0";"6";"0";"0";"12";"1";"1";"2";"3";"0";"3";"1";"0";"0";"1";"0";"1";"0";"38";"0";"1";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bharatsinh Madhavsinh Solanki";"Anand";"Yes";"";"0";"0";"0";"Gujarat";"Indian National Congress";"Elected";"18 May 09";"In office";"";"60";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bhartruhari Mahtab";"Cuttack";"No";"94.06%";"234";"395";"1";"Orissa";"Biju Janata Dal";"Elected";"18 May 09";"In office";"";"56";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"64";"28";"44";"16";"8";"4";"22";"2";"23";"2";"41";"22";"4";"1";"14";"21";"9";"24";"28";"19";"12";"12";"20";"3";"11";"6";"5";"12";"3";"6";"1";"21";"9";"17";"1";"1";"14";"5";"0";"6";"6";"2";"2";"2";"7";"2";"7";"0";"3";"3";"2";"3";"0";"1";"2";"1";"1";"1";"6";"6";"1";"3";"3";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Bhavana Pundlikrao Gawali Patil";"Yavatmal-Washim";"No";"64.50%";"19";"360";"0";"Maharashtra";"Shiv Sena";"Elected";"18 May 09";"In office";"";"40";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"7";"4";"0";"2";"2";"0";"2";"0";"1";"0";"19";"22";"1";"3";"13";"20";"4";"20";"17";"7";"9";"30";"10";"9";"7";"3";"6";"9";"3";"9";"1";"15";"18";"13";"2";"4";"4";"5";"2";"6";"4";"5";"2";"3";"6";"13";"6";"4";"3";"5";"4";"3";"0";"1";"3";"4";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
