"Name";"Constituency";"Attendance";"Debates";"Questions";"Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Lok Sabha";"Debates (Ls - Matters Under (Rule-377))";"Debates (Special Mention)";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Budget (Railways))";"Debates (Submissions By Members)";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Housing And Urban Affairs)";"Questions (Steel)";"Questions (Women And Child Development)";"Questions (Home Affairs)";"Questions (Finance)";"Questions (Defence)";"Questions (Health And Family Welfare)";"Questions (Civil Aviation)";"Questions (Railways)";"Questions (Commerce And Industry)";"Questions (Drinking Water And Sanitation)";"Questions (Coal)";"Questions (Water Resources, River Development And Ganga Rejuvenation)";"Questions (External Affairs)";"Questions (Textiles)";"Questions (Urban Development)";"Questions (Prime Minister)";"Questions (Shipping)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Labour And Employment)";"Questions (Culture)";"Questions (Power)";"Questions (Agriculture And Farmers Welfare)";"Questions (Human Resource Development)";"Questions (Agriculture)";"Questions (Road Transport And Highways)";"Questions (Minority Affairs)";"Questions (Mines)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Environment, Forests And Climate Change)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Petroleum And Natural Gas)";"Questions (New And Renewable Energy)";"Questions (Tourism)";"Questions (Information And Broadcasting)";"Questions (Social Justice And Empowerment)";"Questions (Micro, Small And Medium Enterprises)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Questions (Communications)";"Questions (Environment, Forest And Climate Change)";"Questions (Food Processing Industries)";"Questions (Tribal Affairs)";"Questions (Electronics And Information Technology)";"Questions (Youth Affairs And Sports)";"Questions (Chemicals And Fertilizers)";"Questions (Panchayati Raj)";"Questions (Ayush)";"Questions (Science And Technology)";"Questions (Law And Justice)";"Questions (Statistics And Programme Implementation)";"Questions (Skill Development And Entrepreneurship)";"Questions (Corporate Affairs)";"Questions (Earth Sciences)";"Questions (Skill Development, Entrepreneurship, Youth Affairs And Sports)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Bills)";"Debates (Statutory Resolution And Government Bill)";"Questions (Planning)";"Questions (Water Resources)";"Debates (Government Resolutions)";"Questions (Overseas Indian Affairs)";"Debates (Others)";"Debates (Adjournment Motion)";"Questions (Personnel, Public Grievances And Pensions)";"Debates (Felicitations)";"Questions (Parliamentary Affairs)";"Debates (Ls - No-Confidence Motion (Rule-198))";"Debates (Clarification On The Statement By Minister)";"Debates (Statutory Resolutions)";"Debates (Budget (States))";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Debates (Ls - Personal Explanation By Members (Rule-357))";"Questions (Atomic Energy)"
"Arpita Ghosh";"Balurghat";"62.12%";"21";"26";"0";"West Bengal";"All India Trinamool Congress";"Elected";"18-May-14";"In office";"First";"52";"Female";"Graduate";"16th";"0";"14";"3";"2";"1";"1";"0";"0";"0";"0";"0";"1";"2";"0";"0";"2";"4";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arun Kumar";"Jahanabad";"87.59%";"57";"62";"0";"Bihar";"Rashtriya Lok Samta Party";"Elected";"18-May-14";"In office";"Second";"59";"Male";"Doctorate";"16th";"0";"1";"25";"10";"10";"2";"2";"2";"0";"0";"0";"3";"0";"1";"9";"1";"2";"0";"1";"1";"1";"2";"0";"0";"1";"0";"1";"1";"1";"3";"0";"4";"1";"2";"6";"4";"0";"0";"1";"3";"3";"1";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"A. Arunmozhithevan";"Cuddalore";"84.41%";"40";"549";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18-May-14";"In office";"First";"50";"Male";"Professional Graduate";"16th";"11";"9";"2";"10";"3";"2";"0";"2";"2";"3";"8";"35";"50";"9";"35";"31";"37";"28";"6";"15";"4";"19";"4";"4";"13";"8";"3";"19";"3";"17";"2";"14";"17";"28";"4";"19";"1";"2";"0";"16";"26";"6";"8";"2";"6";"2";"2";"0";"0";"10";"3";"0";"3";"1";"3";"4";"0";"1";"3";"0";"0";"1";"3";"5";"2";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Arvind Sawant";"Mumbai-South";"98.82%";"287";"480";"1";"Maharashtra";"Shiv Sena";"Elected";"18-May-14";"In office";"First";"67";"Male";"Graduate";"16th";"22";"188";"38";"8";"10";"4";"11";"3";"9";"5";"5";"15";"37";"13";"28";"6";"35";"11";"11";"6";"4";"4";"5";"6";"5";"5";"8";"19";"14";"15";"7";"4";"25";"22";"8";"17";"0";"6";"1";"7";"13";"9";"4";"3";"7";"5";"8";"0";"0";"11";"7";"5";"1";"0";"5";"15";"0";"6";"0";"6";"4";"1";"4";"2";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Asaduddin Owaisi";"Hyderabad";"82.18%";"64";"738";"2";"Telangana";"All India Majlis-E-Ittehadul Muslimeen";"Elected";"18-May-14";"In office";"Third";"49";"Male";"Professional Graduate";"16th";"0";"3";"24";"9";"12";"0";"5";"5";"6";"1";"7";"55";"57";"35";"39";"22";"25";"25";"8";"9";"16";"28";"3";"12";"14";"11";"7";"14";"8";"11";"0";"8";"14";"40";"8";"26";"29";"2";"1";"12";"18";"38";"10";"6";"17";"12";"4";"0";"0";"1";"8";"2";"1";"0";"5";"4";"3";"1";"10";"28";"0";"2";"6";"3";"0";"1";"0";"0";"3";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"0";"0"
"Ashok Gajapathi Raju Pusapati";"Vizianagaram";"100.00%";"0";"0";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"18-May-14";"In office";"First";"67";"Male";"Matric";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ashok Kumar Doharey";"Etawah";"85.76%";"3";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"48";"Male";"Graduate";"16th";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ashok Mahadeorao Nete";"Gadchiroli-Chimur";"75.76%";"29";"536";"4";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"50";"Male";"Graduate";"16th";"13";"11";"0";"2";"1";"2";"0";"0";"3";"3";"7";"17";"36";"9";"37";"6";"22";"11";"4";"10";"8";"9";"8";"2";"7";"2";"11";"16";"23";"14";"9";"9";"25";"26";"17";"9";"2";"11";"1";"8";"14";"10";"7";"10";"16";"12";"9";"0";"0";"7";"5";"2";"18";"0";"6";"5";"4";"0";"4";"10";"0";"2";"1";"1";"1";"0";"0";"0";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ashok Shankarrao Chavan";"Nanded";"44.41%";"9";"907";"0";"Maharashtra";"Indian National Congress";"Elected";"18-May-14";"In office";"Second";"60";"Male";"Professional Graduate";"16th";"0";"3";"1";"0";"3";"2";"0";"0";"3";"0";"8";"54";"54";"34";"69";"40";"41";"39";"4";"12";"14";"25";"8";"11";"11";"24";"7";"19";"12";"20";"14";"15";"42";"46";"10";"33";"6";"2";"8";"23";"24";"16";"9";"18";"11";"10";"2";"0";"0";"7";"11";"4";"5";"4";"12";"12";"0";"5";"13";"8";"1";"5";"8";"8";"1";"1";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ashwini Kumar";"Karnal";"53.71%";"7";"380";"0";"Haryana";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"62";"Male";"Professional Graduate";"16th";"0";"4";"0";"1";"1";"0";"0";"1";"3";"1";"7";"58";"26";"24";"19";"14";"23";"4";"2";"1";"4";"16";"7";"20";"3";"1";"3";"1";"12";"4";"10";"3";"6";"18";"5";"9";"5";"0";"1";"1";"9";"3";"0";"4";"2";"5";"3";"0";"0";"1";"1";"0";"0";"1";"9";"1";"2";"0";"1";"22";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ashwini Kumar Choubey";"Buxar";"93.00%";"181";"151";"2";"Bihar";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"66";"Male";"Graduate";"16th";"17";"132";"3";"11";"4";"2";"6";"2";"1";"3";"1";"4";"7";"5";"14";"3";"12";"2";"3";"0";"6";"1";"6";"0";"4";"3";"0";"2";"1";"3";"4";"0";"4";"7";"1";"2";"1";"1";"0";"1";"1";"7";"6";"2";"0";"2";"1";"1";"1";"0";"3";"2";"0";"1";"3";"3";"1";"5";"5";"1";"1";"2";"0";"2";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Asrarul Haque Mohammad";"Kishanganj";"89.13%";"14";"4";"0";"Bihar";"Indian National Congress";"Elected";"18-May-14";"07-12-2018";"Second";"77";"Male";"Post Graduate";"16th";"3";"4";"0";"3";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"A.T. Nana Patil";"Jalgaon";"87.18%";"88";"511";"17";"Maharashtra";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"57";"Male";"Post Graduate";"16th";"20";"39";"1";"12";"6";"4";"0";"5";"2";"1";"8";"13";"40";"15";"25";"11";"39";"14";"4";"5";"8";"5";"7";"8";"10";"4";"6";"7";"14";"11";"4";"4";"30";"47";"11";"15";"2";"0";"4";"5";"12";"15";"5";"5";"6";"8";"6";"0";"0";"4";"2";"4";"3";"3";"11";"7";"4";"8";"6";"4";"0";"8";"2";"0";"3";"1";"0";"0";"3";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Azmeera Seetaram Naik";"Mahabubabad";"68.47%";"30";"134";"0";"Telangana";"Telangana Rashtra Samithi";"Elected";"18-May-14";"In office";"First";"61";"Male";"Doctorate";"16th";"2";"17";"7";"1";"1";"1";"0";"0";"0";"2";"1";"2";"11";"1";"6";"5";"7";"1";"2";"3";"3";"0";"1";"1";"0";"2";"1";"4";"7";"7";"1";"1";"3";"9";"7";"4";"0";"0";"2";"6";"6";"1";"1";"1";"2";"3";"1";"0";"0";"0";"2";"0";"6";"0";"5";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Babulal Chaudhary";"Fatehpur Sikri";"94.76%";"13";"25";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"70";"Male";"Inter/ Higher Secondary";"16th";"3";"9";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"3";"0";"2";"2";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"1";"4";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Babul Supriya Baral (Babul Supriyo)";"Asansol";"60.00%";"0";"0";"0";"West Bengal";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"48";"Male";"Graduate";"16th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Badaruddoza Khan";"Murshidabad";"89.29%";"179";"359";"0";"West Bengal";"Communist Party of India (Marxist)";"Elected";"18-May-14";"In office";"First";"65";"Male";"Professional Graduate";"16th";"8";"107";"18";"16";"4";"3";"17";"4";"0";"0";"8";"27";"33";"13";"20";"13";"26";"11";"13";"3";"12";"9";"6";"2";"5";"0";"2";"3";"17";"15";"0";"0";"19";"18";"3";"9";"5";"0";"1";"5";"9";"10";"1";"0";"0";"3";"3";"0";"0";"1";"1";"2";"1";"5";"4";"9";"0";"0";"0";"7";"1";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Badruddin Ajmal";"Dhubri";"56.29%";"66";"404";"0";"Assam";"All India United Democratic Front";"Elected";"18-May-14";"In office";"Second";"69";"Male";"Post Graduate";"16th";"7";"19";"9";"9";"12";"2";"3";"3";"4";"3";"5";"44";"15";"3";"19";"9";"21";"12";"10";"1";"10";"8";"8";"1";"7";"7";"7";"1";"12";"2";"6";"9";"11";"31";"5";"8";"26";"0";"2";"9";"11";"5";"1";"3";"2";"5";"3";"0";"0";"1";"3";"3";"1";"2";"4";"4";"0";"5";"0";"8";"2";"2";"4";"0";"1";"14";"0";"0";"4";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Bahadur Singh Koli";"Bharatpur";"93.00%";"16";"105";"0";"Rajasthan";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Second";"57";"Male";"Matric";"16th";"11";"0";"0";"3";"0";"2";"0";"0";"1";"0";"3";"4";"5";"1";"7";"0";"5";"1";"6";"0";"4";"0";"2";"3";"2";"0";"1";"0";"5";"3";"0";"2";"4";"8";"2";"3";"0";"2";"1";"4";"2";"4";"1";"1";"0";"3";"0";"0";"0";"2";"1";"2";"1";"2";"3";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Baijayant Jay Panda";"Kendrapara";"81.57%";"18";"458";"21";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"18-07-2018";"Second";"55";"Male";"Graduate";"16th";"5";"6";"2";"2";"0";"0";"1";"0";"0";"3";"16";"18";"23";"19";"17";"10";"15";"11";"5";"5";"4";"13";"9";"11";"10";"10";"6";"12";"13";"9";"8";"6";"12";"15";"8";"5";"3";"2";"3";"10";"14";"9";"8";"3";"5";"11";"6";"0";"0";"3";"8";"7";"5";"5";"5";"6";"6";"3";"5";"4";"2";"7";"6";"6";"4";"4";"2";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Balabhadra Majhi";"Nabarangpur";"82.41%";"77";"207";"0";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"In office";"First";"58";"Male";"Professional Graduate";"16th";"16";"37";"7";"4";"3";"4";"1";"0";"2";"1";"3";"11";"11";"1";"16";"4";"16";"2";"1";"4";"6";"2";"4";"5";"2";"0";"1";"3";"5";"3";"4";"6";"11";"10";"0";"3";"0";"0";"0";"7";"2";"7";"2";"1";"1";"2";"5";"1";"1";"3";"9";"0";"11";"4";"0";"2";"4";"3";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Balka Suman";"Peddapalle";"50.44%";"9";"273";"2";"Telangana";"Telangana Rashtra Samithi";"Elected";"18-May-14";"18-12-2018";"First";"35";"Male";"Doctorate";"16th";"1";"2";"4";"1";"0";"0";"0";"0";"3";"0";"2";"8";"34";"8";"15";"13";"12";"10";"3";"2";"6";"5";"4";"5";"5";"5";"0";"2";"6";"8";"0";"2";"4";"20";"6";"6";"0";"2";"2";"1";"7";"6";"3";"4";"4";"5";"1";"0";"0";"5";"6";"1";"0";"4";"3";"5";"2";"0";"0";"5";"2";"1";"3";"1";"1";"3";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bandaru Dattatreya";"Secunderabad";"77.14%";"3";"12";"0";"Telangana";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fourth";"71";"Male";"Graduate";"16th";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Banshilal Mahto";"Korba";"83.47%";"37";"444";"0";"Chhattisgarh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"78";"Male";"Professional Graduate";"16th";"11";"15";"2";"5";"0";"3";"0";"0";"3";"7";"10";"11";"18";"2";"33";"10";"24";"9";"4";"8";"14";"5";"10";"6";"4";"0";"9";"8";"1";"7";"6";"4";"18";"24";"10";"15";"0";"6";"3";"7";"14";"8";"11";"7";"1";"9";"1";"0";"0";"8";"11";"5";"10";"2";"10";"9";"5";"13";"2";"4";"2";"7";"2";"1";"1";"0";"1";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Begum Tabassum Hasan";"Kairana";"82.00%";"3";"14";"0";"Uttar Pradesh";"Rashtriya Lok Dal";"Elected";"31-May-18";"In office";"Second";"48";"Female";"Matric";"16th";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Bhagat Singh Koshyari";"Nainital-Udhamsingh Nagar";"89.94%";"11";"10";"0";"Uttarakhand";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"76";"Male";"Post Graduate";"16th";"1";"2";"1";"4";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bhagirath Prasad";"Bhind";"84.53%";"28";"76";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"71";"Male";"Doctorate";"16th";"10";"11";"1";"3";"1";"1";"0";"0";"0";"0";"0";"2";"4";"6";"3";"2";"9";"2";"0";"0";"1";"0";"3";"0";"4";"0";"0";"0";"3";"1";"1";"0";"2";"5";"1";"1";"0";"1";"0";"0";"4";"3";"1";"0";"0";"4";"1";"0";"0";"0";"2";"0";"3";"0";"1";"0";"1";"0";"0";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bhagwanth Khuba";"Bidar";"81.12%";"15";"329";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"51";"Male";"Professional Graduate";"16th";"0";"8";"1";"1";"0";"2";"3";"0";"2";"0";"5";"10";"23";"3";"20";"5";"24";"10";"4";"0";"11";"4";"2";"4";"2";"2";"0";"11";"16";"9";"7";"7";"10";"19";"7";"5";"1";"1";"1";"8";"8";"5";"5";"7";"0";"1";"5";"0";"0";"1";"7";"3";"1";"3";"8";"9";"2";"1";"2";"1";"2";"1";"7";"1";"1";"1";"0";"0";"8";"4";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bhagwant Mann";"Sangrur";"56.65%";"107";"56";"0";"Punjab";"Aam Aadmi Party";"Elected";"18-May-14";"In office";"First";"45";"Male";"Under Graduate";"16th";"7";"38";"21";"9";"11";"2";"6";"4";"1";"0";"1";"7";"7";"2";"6";"1";"3";"0";"1";"1";"2";"2";"0";"0";"2";"0";"0";"2";"1";"0";"1";"3";"1";"1";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0"
"Bhairon Prasad Mishra";"Banda";"100.00%";"2095";"545";"21";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"60";"Male";"Inter/ Higher Secondary";"16th";"41";"1929";"6";"31";"10";"6";"54";"5";"0";"4";"16";"17";"21";"12";"14";"10";"33";"17";"14";"7";"7";"12";"8";"10";"10";"1";"2";"2";"12";"9";"8";"9";"19";"14";"12";"9";"4";"3";"2";"6";"22";"11";"8";"16";"5";"12";"5";"3";"0";"2";"8";"12";"8";"0";"14";"9";"16";"26";"2";"12";"0";"14";"2";"5";"0";"1";"7";"0";"10";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Bhanu Pratap Singh Verma";"Jalaun";"95.65%";"115";"116";"1";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"Fourth";"61";"Male";"Post Graduate";"16th";"40";"56";"2";"5";"4";"3";"3";"1";"0";"0";"2";"1";"7";"1";"3";"1";"12";"1";"3";"0";"1";"2";"1";"1";"1";"0";"0";"2";"2";"0";"3";"4";"3";"9";"1";"5";"1";"2";"1";"1";"2";"5";"2";"7";"2";"2";"2";"0";"0";"2";"3";"0";"1";"0";"5";"1";"0";"3";"0";"1";"1";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bharatendra Singh";"Bijnor";"90.53%";"20";"308";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"55";"Male";"Post Graduate";"16th";"6";"3";"1";"3";"2";"1";"0";"1";"0";"0";"2";"15";"25";"14";"17";"14";"10";"10";"2";"6";"12";"9";"2";"5";"0";"6";"1";"5";"6";"9";"1";"5";"16";"20";"2";"11";"6";"1";"2";"2";"5";"9";"3";"1";"0";"0";"4";"0";"0";"4";"5";"0";"1";"2";"5";"1";"0";"4";"5";"6";"1";"8";"2";"0";"2";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Bharatiben Dhirubhai Shiyal";"Bhavnagar";"94.53%";"33";"180";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"55";"Female";"Professional Graduate";"16th";"4";"15";"1";"7";"1";"2";"0";"3";"2";"4";"4";"6";"7";"3";"18";"6";"8";"3";"4";"5";"5";"2";"2";"2";"7";"2";"1";"3";"0";"7";"3";"1";"9";"4";"0";"2";"1";"3";"0";"2";"10";"2";"4";"0";"5";"4";"3";"0";"0";"0";"4";"3";"1";"0";"6";"2";"0";"1";"1";"4";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bharat Singh";"Ballia";"93.88%";"51";"439";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"18-May-14";"In office";"First";"70";"Male";"Graduate";"16th";"16";"29";"0";"1";"1";"3";"1";"0";"4";"3";"9";"12";"22";"18";"28";"10";"28";"14";"11";"5";"6";"14";"2";"2";"6";"4";"8";"3";"12";"13";"4";"14";"22";"25";"7";"15";"1";"3";"2";"9";"14";"6";"9";"6";"5";"3";"2";"0";"0";"3";"12";"6";"2";"1";"1";"3";"2";"4";"4";"3";"2";"7";"1";"2";"0";"0";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bhartruhari Mahtab";"Cuttack";"93.29%";"256";"610";"21";"Odisha";"Biju Janata Dal";"Elected";"18-May-14";"In office";"Fifth";"61";"Male";"Post Graduate";"16th";"30";"81";"46";"26";"20";"3";"19";"6";"6";"4";"9";"38";"50";"13";"40";"24";"37";"8";"4";"5";"8";"10";"6";"10";"13";"2";"2";"18";"13";"19";"6";"15";"14";"23";"12";"23";"7";"0";"0";"16";"22";"21";"6";"8";"5";"4";"9";"4";"4";"7";"11";"1";"4";"4";"2";"6";"3";"3";"3";"10";"3";"12";"8";"2";"0";"0";"7";"0";"1";"0";"1";"0";"3";"2";"0";"2";"0";"0";"1";"1";"0";"0";"0";"0"
