"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Questions (Ayush)";"Questions (Road Transport And Highways)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Chemicals And Fertilizers)";"Questions (Civil Aviation)";"Questions (Panchayati Raj)";"Questions (Railways)";"Questions (Home Affairs)";"Questions (Health And Family Welfare)";"Questions (Women And Child Development)";"Questions (Jal Shakti)";"Questions (Fisheries, Animal Husbandry And Dairying)";"Questions (Agriculture And Farmers Welfare)";"Questions (Finance)";"Questions (Housing And Urban Affairs)";"Questions (Electronics And Information Technology)";"Questions (Commerce And Industry)";"Questions (Youth Affairs And Sports)";"Questions (Tourism)";"Questions (External Affairs)";"Questions (Atomic Energy)";"Questions (Labour And Employment)";"Questions (Education)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Special Mention)";"Debates (Ls - Short Duration Discussions (Rule-193))";"Debates (Motion Of Thanks On The President'S Address)";"Questions (Corporate Affairs)";"Questions (Rural Development)";"Questions (Law And Justice)";"Questions (Petroleum And Natural Gas)";"Questions (Communication)";"Questions (Ports, Shipping And Waterways)";"Questions (Power)";"Questions (Earth Sciences)";"Questions (Heavy Industries)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Mines)";"Questions (Environment, Forest And Climate Change)";"Questions (Coal)";"Questions (Prime Minister)";"Questions (Statistics And Programme Implementation)";"Debates (Submissions By Members)";"Questions (Planning)";"Questions (Social Justice And Empowerment)";"Questions (Culture)";"Questions (Steel)";"Questions (Tribal Affairs)";"Questions (Defence)";"Questions (Skill Development And Entrepreneurship)";"Questions (Textiles)";"Questions (Science And Technology)";"Questions (Information And Broadcasting)";"Questions (Parliamentary Affairs)";"Questions (Cooperation)";"Questions (New And Renewable Energy)";"Questions (Food Processing Industries)";"Questions (Minority Affairs)";"Questions (Personnel, Public Grievances And Pensions)";"Questions (Space)";"Questions (Development Of North Eastern Region)";"Debates (Private Members' Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Private Members' Bills)"
"Amar Singh";"Fatehgarh Sahib";"No";"100.00%";"9";"48";"0";"Punjab";"Indian National Congress";"Elected";"09-06-2024";"In Office";"Second Term";"71";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"0.0";"3.0";"1.0";"0.0";"0.0";"0.0";"4.0";"1.0";"1.0";"0.0";"2.0";"3.0";"1.0";"1.0";"0.0";"2.0";"0.0";"0.0";"0.0";"2.0";"4.0";"3.0";"1.0";"1.0";"4.0";"0.0";"0.0";"2.0";"2.0";"0.0";"1.0";"2.0";"0.0";"2.0";"0.0";"0.0";"1.0";"0.0";"4.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Amarsing Tisso";"Diphu";"No";"100.00%";"0";"14";"0";"Assam";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"56";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"4.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"G Lakshminarayana";"Ananthapur";"No";"85.00%";"4";"47";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"09-06-2024";"In Office";"First Term";"60";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"5.0";"0.0";"1.0";"0.0";"1.0";"3.0";"0.0";"3.0";"2.0";"2.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"2.0";"1.0";"0.0";"0.0";"1.0";"4.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"2.0";"4.0";"1.0";"0.0";"0.0";"0.0";"1.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Amit Shah";"Gandhinagar";"Yes";"";"0";"0";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Second Term";"60";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Amol Ramsing Kolhe";"Shirur";"No";"70.00%";"5";"65";"0";"Maharashtra";"Nationalist Congress Party Sharadchandra Pawar";"Elected";"09-06-2024";"In Office";"Second Term";"44";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"2.0";"5.0";"3.0";"2.0";"0.0";"5.0";"0.0";"4.0";"5.0";"4.0";"2.0";"4.0";"1.0";"2.0";"1.0";"2.0";"2.0";"1.0";"1.0";"1.0";"2.0";"4.0";"1.0";"0.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"3.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Amra Ram";"Sikar";"No";"65.00%";"11";"39";"0";"Rajasthan";"Communist Party of India (Marxist)";"Elected";"09-06-2024";"In Office";"First Term";"69";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"3.0";"0.0";"0.0";"0.0";"0.0";"4.0";"0.0";"3.0";"1.0";"2.0";"2.0";"0.0";"3.0";"1.0";"0.0";"0.0";"1.0";"1.0";"0.0";"1.0";"2.0";"2.0";"5.0";"2.0";"2.0";"2.0";"0.0";"0.0";"0.0";"1.0";"3.0";"2.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Amrinder Singh Raja Warring";"Ludhiana";"No";"60.00%";"5";"31";"0";"Punjab";"Indian National Congress";"Elected";"09-06-2024";"In Office";"First Term";"47";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"3.0";"1.0";"3.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"3.0";"1.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"2.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Amritpal Singh";"Khadoor Sahib";"No";"0.00%";"0";"0";"0";"Punjab";"Independent";"Elected";"09-06-2024";"In Office";"First Term";"31";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anand Bhadauria";"Dhaurahra";"No";"95.00%";"13";"43";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"09-06-2024";"In Office";"First Term";"46";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"1.0";"3.0";"3.0";"0.0";"4.0";"0.0";"1.0";"0.0";"1.0";"0.0";"3.0";"5.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"3.0";"2.0";"3.0";"4.0";"3.0";"0.0";"1.0";"0.0";"0.0";"3.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anand Kumar";"Baharaich";"No";"100.00%";"1";"2";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"50";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Ananta Nayak";"Keonjhar";"No";"90.00%";"6";"27";"0";"Odisha";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Third Term";"55";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"3.0";"0.0";"4.0";"0.0";"2.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"1.0";"0.0";"4.0";"0.0";"2.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Angomcha Bimol Akoijam";"Inner Manipur";"No";"100.00%";"4";"7";"0";"Manipur";"Indian National Congress";"Elected";"09-06-2024";"In Office";"First Term";"57";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anil Baluni";"Garhwal";"No";"95.00%";"2";"3";"0";"Uttarakhand";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"54";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anil Firojiya";"Ujjain";"No";"90.00%";"5";"25";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Second Term";"53";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"0.0";"0.0";"0.0";"3.0";"1.0";"0.0";"0.0";"1.0";"0.0";"3.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"4.0";"0.0";"0.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anil Yeshwant Desai";"Mumbai South Central";"No";"90.00%";"9";"30";"0";"Maharashtra";"Shiv Sena (Uddhav Balasaheb Thackeray)";"Elected";"09-06-2024";"In Office";"First Term";"67";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"2.0";"1.0";"0.0";"1.0";"0.0";"1.0";"3.0";"1.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"0.0";"1.0";"1.0";"4.0";"3.0";"1.0";"0.0";"0.0";"0.0";"0.0";"4.0";"0.0";"1.0";"0.0";"3.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anita Nagarsingh Chouhan";"Ratlam";"No";"75.00%";"8";"1";"0";"Madhya Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"40";"Female";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"3.0";"4.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anita Subhadarshini";"Aska";"No";"75.00%";"5";"10";"0";"Odisha";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"52";"Female";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Annpurna Devi";"Kodarma";"Yes";"";"0";"0";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Second Term";"54";"Female";"Post Graduate and above";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anoop Pradhan Valmiki";"Hathras";"No";"100.00%";"0";"0";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"43";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anto Antony";"Pathanamthitta";"No";"80.00%";"10";"61";"0";"Kerala";"Indian National Congress";"Elected";"09-06-2024";"In Office";"Fourth Term";"67";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"1.0";"1.0";"1.0";"6.0";"1.0";"2.0";"0.0";"3.0";"4.0";"1.0";"0.0";"2.0";"3.0";"3.0";"1.0";"2.0";"0.0";"2.0";"2.0";"1.0";"0.0";"5.0";"3.0";"0.0";"2.0";"4.0";"0.0";"0.0";"1.0";"1.0";"2.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"5.0";"0.0";"3.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anup Sanjay Dhotre";"Akola";"No";"100.00%";"5";"26";"0";"Maharashtra";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"First Term";"40";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"3.0";"2.0";"0.0";"0.0";"1.0";"0.0";"2.0";"0.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"2.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"3.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anupriya Patel";"Mirzapur";"Yes";"";"0";"0";"0";"Uttar Pradesh";"Apna Dal (Soneylal)";"Elected";"09-06-2024";"In Office";"Third Term";"43";"Female";"Post Graduate and above";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anurag Sharma";"Jhansi";"No";"90.00%";"10";"49";"0";"Uttar Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Second Term";"60";"Male";"Post Graduate and above";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"5.0";"0.0";"1.0";"1.0";"1.0";"1.0";"2.0";"0.0";"1.0";"2.0";"4.0";"0.0";"2.0";"0.0";"3.0";"3.0";"1.0";"1.0";"4.0";"0.0";"0.0";"1.0";"0.0";"7.0";"1.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"2.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Anurag Singh Thakur";"Hamirpur";"No";"95.00%";"5";"35";"0";"Himachal Pradesh";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Fifth Term";"54";"Male";"Upto Higher Secondary";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"1.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"3.0";"1.0";"2.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"2.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"2.0";"1.0";"2.0";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Aparajita Sarangi";"Bhubaneswar";"No";"80.00%";"4";"51";"0";"Odisha";"Bharatiya Janata Party";"Elected";"09-06-2024";"In Office";"Second Term";"55";"Female";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"0.0";"0.0";"3.0";"2.0";"1.0";"0.0";"2.0";"0.0";"2.0";"0.0";"4.0";"0.0";"1.0";"1.0";"3.0";"2.0";"1.0";"0.0";"3.0";"1.0";"0.0";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"1.0";"1.0";"2.0";"0.0";"0.0";"1.0";"1.0";"1.0";"1.0";"0.0";"0.0";"2.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"2.0";"1.0";"2.0";"0.0";"2.0";"0.0";"1.0";"0.0";"0.0";"0.0";"3.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0"
"Appalanaidu Kalisetti";"Vizianagaram";"No";"100.00%";"4";"53";"0";"Andhra Pradesh";"Telugu Desam Party";"Elected";"09-06-2024";"In Office";"First Term";"51";"Male";"Graduate";"Data corresponds to the period from 24-06-2024 to 20-12-2024. (Attendance data available for the Winter Session 2024)";"18th";"2.0";"3.0";"1.0";"3.0";"2.0";"1.0";"2.0";"0.0";"3.0";"3.0";"1.0";"1.0";"1.0";"2.0";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"2.0";"3.0";"1.0";"0.0";"2.0";"1.0";"0.0";"0.0";"0.0";"1.0";"2.0";"0.0";"0.0";"0.0";"2.0";"0.0";"0.0";"2.0";"1.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"2.0";"1.0";"3.0";"1.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
